종목코드,종목명,날짜,시작가,전일가,정적_거래량,시가총액,PER,EPS,52주최고,52주최저,종가,전일대비,외국인순매수,기관순매수,개인순매수,동적_거래량,시가총액_원,PER_숫자,EPS_숫자
005930,삼성전자,20250627,"60,100","60,200","17,235,470",359914000000000,11.78,5162.0,"88,800","49,900","60,800",600,"+623,870","+2,059,747","-2,746,410","17,235,470",359914000000000,11.78,5162.0
000660,SK하이닉스,20250627,"288,000","293,000","4,993,896",206752700000000,7.96,35682.0,"298,500","144,700","284,000","-9,000","-644,947","-87,427","+667,580","4,993,896",206752700000000,7.96,35682.0
207940,삼성바이오로직스,20250627,"1,004,000","999,000","38,057",70889300000000,55.4,17977.0,"1,209,000","724,000","996,000","-3,000","-7,886","-5,610","+13,601","38,057",70889300000000,55.4,17977.0
373220,LG에너지솔루션,20250627,"297,500","297,000","219,699",67392000000000,,4974.0,"444,000","266,000","288,000","-9,000","-58,037","-76,408","+133,601","219,699",67392000000000,,4974.0
105560,KB금융,20250627,"110,000","109,900","857,938",42189700000000,7.67,14416.0,"114,800","69,300","110,600",700,"+122,013","-20,515","-101,255","857,938",42189700000000,7.67,14416.0
034020,두산에너빌리티,20250627,"64,300","64,700","7,601,019",42148900000000,,159.0,"71,400","15,150","65,800","1,100","+578,230","+621,461","-1,301,424","7,601,019",42148900000000,,159.0
012450,한화에어로스페이스,20250627,"898,000","878,000","334,673",42093600000000,18.0,49447.0,"987,000","234,290","890,000","12,000","-22,208","+42,629","-19,850","334,673",42093600000000,18.0,49447.0
005380,현대차,20250627,"211,000","209,500","764,378",41975300000000,4.47,45880.0,"299,500","175,800","205,000","-4,500","-235,372","+6,270","+229,359","764,378",41975300000000,4.47,45880.0
005935,삼성전자우,20250627,"50,200","50,400","1,489,861",41288300000000,9.8,5162.0,"70,300","41,700","50,600",200,"+73,992","+16,720","-90,678","1,489,861",41288300000000,9.8,5162.0
035420,NAVER,20250627,"263,500","261,000","2,316,733",40797500000000,22.49,11452.0,"295,000","151,100","257,500","-3,500","-422,515","-30,897","+441,413","2,316,733",40797500000000,22.49,11452.0
000270,기아,20250627,"99,700","99,100","574,885",38852600000000,4.17,23440.0,"132,300","81,300","97,700","-1,400","-75,005","+20,949","+54,339","574,885",38852600000000,4.17,23440.0
329180,HD현대중공업,20250627,"429,500","423,500","183,253",37462300000000,42.71,9880.0,"476,000","147,400","422,000","-1,500","-10,926","-2,026","+12,804","183,253",37462300000000,42.71,9880.0
068270,셀트리온,20250627,"160,400","160,200","298,661",35565900000000,73.99,2161.0,"194,109","144,866","159,900",-300,"-75,136","-6,737","+14,533","298,661",35565900000000,73.99,2161.0
055550,신한지주,20250627,"59,800","59,700","1,615,436",29998400000000,6.64,9108.0,"64,600","42,500","60,500",800,"+188,835","+59,940","-136,319","1,615,436",29998400000000,6.64,9108.0
028260,삼성물산,20250627,"161,900","160,600","339,200",26992300000000,12.68,12523.0,"174,500","108,100","158,800","-1,800","+33,284","-36,557","+4,310","339,200",26992300000000,12.68,12523.0
035720,카카오,20250627,"63,000","63,100","7,751,588",26903600000000,176.01,346.0,"71,600","32,550","60,900","-2,200","+129,632","-290,016","+128,624","7,751,588",26903600000000,176.01,346.0
012330,현대모비스,20250627,"292,000","294,500","138,407",26574700000000,6.38,45380.0,"302,000","200,500","289,500","-5,000","-1,867","+7,428","-6,150","138,407",26574700000000,6.38,45380.0
009540,HD한국조선해양,20250627,"365,500","362,500","198,330",25761400000000,17.42,20895.0,"398,500","153,600","364,000","1,500","-13,329","-4,039","+17,555","198,330",25761400000000,17.42,20895.0
032830,삼성생명,20250627,"126,400","125,500","438,651",25260000000000,11.92,10600.0,"133,400","73,300","126,300",800,"+80,930","-30,773","-45,548","438,651",25260000000000,11.92,10600.0
015760,한국전력,20250627,"39,800","40,600","8,019,427",25197100000000,4.79,8191.0,"41,150","18,190","39,250","-1,350","-1,260,762","+941,564","+239,246","8,019,427",25197100000000,4.79,8191.0
042660,한화오션,20250627,"82,000","80,300","1,769,254",24329200000000,35.12,2261.0,"95,800","25,400","79,400",-900,"-531,362","-66,456","+583,555","1,769,254",24329200000000,35.12,2261.0
086790,하나금융지주,20250627,"83,600","83,500","837,186",23973800000000,6.35,13252.0,"85,800","51,500","84,200",700,"+40,132","-31,527","-7,823","837,186",23973800000000,6.35,13252.0
402340,SK스퀘어,20250627,"186,700","187,400","945,652",23367000000000,4.76,37069.0,"199,800","67,600","176,300","-11,100","-52,856","+7,024","+35,395","945,652",23367000000000,4.76,37069.0
011200,HMM,20250627,"23,100","23,100","1,562,326",22960900000000,4.42,5073.0,"25,350","15,570","22,400",-700,"-183,116","-294,163","+473,612","1,562,326",22960900000000,4.42,5073.0
064350,현대로템,20250627,"201,000","196,700","1,203,275",21937600000000,43.1,4664.0,"220,500","37,450","201,000","4,300","-19,613","+73,771","-49,036","1,203,275",21937600000000,43.1,4664.0
005490,POSCO홀딩스,20250627,"268,000","267,500","264,091",21042600000000,25.28,10286.0,"397,000","227,500","260,000","-7,500","-50,852","-7,222","+81,836","264,091",21042600000000,25.28,10286.0
138040,메리츠금융지주,20250627,"114,000","113,900","236,582",20197600000000,9.18,12216.0,"127,400","73,500","112,200","-1,700","-70,840","+69,412","+4,189","236,582",20197600000000,9.18,12216.0
000810,삼성화재,20250627,"439,000","441,500","65,113",20014900000000,11.11,39171.0,"466,000","324,000","435,000","-6,500","-15,080","+7,482","+7,514","65,113",20014900000000,11.11,39171.0
267260,HD현대일렉트릭,20250627,"484,000","484,000","216,245",17573000000000,31.29,15581.0,"506,000","225,500","487,500","3,500","+14,143","-9,213","-5,408","216,245",17573000000000,31.29,15581.0
010130,고려아연,20250627,"798,000","793,000","81,564",17473600000000,70.92,11900.0,"2,407,000","445,000","844,000","51,000","+6,644","+4,122","-11,028","81,564",17473600000000,70.92,11900.0
259960,크래프톤,20250627,"359,000","358,500","77,468",16942200000000,12.91,27686.0,"393,000","260,000","357,500","-1,000","-5,838","+5,942",-201,"77,468",16942200000000,12.91,27686.0
316140,우리금융지주,20250627,"22,600","22,550","2,278,918",16708300000000,5.8,3877.0,"22,850","13,740","22,500",-50,"-525,319","+117,800","+429,124","2,278,918",16708300000000,5.8,3877.0
033780,KT&G,20250627,"124,800","124,800","338,115",15050300000000,13.88,8881.0,"127,600","85,700","123,300","-1,500",+592,"+39,658","-38,697","338,115",15050300000000,13.88,8881.0
323410,카카오뱅크,20250627,"30,100","31,350","1,946,396",15001300000000,32.16,978.0,"38,750","18,490","31,450",100,"-72,084","-151,271","+239,915","1,946,396",15001300000000,32.16,978.0
096770,SK이노베이션,20250627,"99,900","100,300","239,336",14771200000000,,20236.0,"140,200","80,800","97,800","-2,500","-24,886","-25,233","+51,072","239,336",14771200000000,,20236.0
051910,LG화학,20250627,"217,000","216,000","227,948",14753800000000,,11946.0,"371,000","181,500","209,000","-7,000","-34,510","-20,851","+52,480","227,948",14753800000000,,11946.0
024110,기업은행,20250627,"18,600","18,520","942,054",14592900000000,5.46,3351.0,"18,980","12,790","18,300",-220,"-160,083","+171,343","-14,078","942,054",14592900000000,5.46,3351.0
034730,SK,20250627,"205,000","203,500","248,595",14326500000000,16.09,12281.0,"209,000","114,800","197,600","-5,900","-56,633","-23,668","+65,899","248,595",14326500000000,16.09,12281.0
010140,삼성중공업,20250627,"16,460","16,320","3,841,073",14220800000000,97.35,166.0,"18,550","9,220","16,160",-160,"-904,787","-311,613","+1,176,286","3,841,073",14220800000000,97.35,166.0
030200,KT,20250627,"52,400","52,400","771,081",13710000000000,21.66,2511.0,"55,500","35,850","54,400","2,000","-14,636","+309,470","-301,027","771,081",13710000000000,21.66,2511.0
006400,삼성SDI,20250627,"175,300","174,600","478,562",13675400000000,116.15,1461.0,"385,249","157,700","169,700","-4,900","-242,626","-58,687","+305,707","478,562",13675400000000,116.15,1461.0
018260,삼성에스디에스,20250627,"176,500","174,900","267,429",13409600000000,17.7,9791.0,"198,800","109,000","173,300","-1,600","-6,254","-6,381","+12,032","267,429",13409600000000,17.7,9791.0
352820,하이브,20250627,"306,000","306,000","172,862",12724700000000,243.23,1256.0,"316,000","157,700","305,500",-500,"+28,583","-29,062","-1,447","172,862",12724700000000,243.23,1256.0
003550,LG,20250627,"80,500","81,400","246,687",12532900000000,15.77,5053.0,"91,700","58,300","79,700","-1,700","-8,175","+35,954","-34,156","246,687",12532900000000,15.77,5053.0
006800,미래에셋증권,20250627,"21,900","21,850","4,032,115",12176300000000,15.65,1364.0,"25,350","6,600","21,350",-500,"-1,048,165","+1,066,255","-42,355","4,032,115",12176300000000,15.65,1364.0
066570,LG전자,20250627,"74,800","74,700","434,975",12126300000000,19.37,3825.0,"115,400","64,100","74,100",-600,"-15,677","-56,035","+68,789","434,975",12126300000000,19.37,3825.0
017670,SK텔레콤,20250627,"56,600","56,700","639,168",12071200000000,9.57,5874.0,"61,900","50,400","56,200",-500,"-22,597","+22,757","+8,141","639,168",12071200000000,9.57,5874.0
079550,LIG넥스원,20250627,"534,000","524,000","186,495",11946000000000,48.69,11153.0,"650,000","168,700","543,000","19,000","+8,174","+16,668","-26,703","186,495",11946000000000,48.69,11153.0
377300,카카오페이,20250627,"86,700","93,800","7,694,326",11341500000000,,31.0,"114,000","21,200","84,200","-9,600","-168,848","+107,434","+43,347","7,694,326",11341500000000,,31.0
272210,한화시스템,20250627,"60,200","58,700","1,599,649",11202900000000,25.44,2331.0,"70,200","16,530","59,300",600,"-285,911","-32,969","+295,082","1,599,649",11202900000000,25.44,2331.0
