종목코드,종목명,날짜,종가,52주최고,52주최저,정적_거래량,동적_거래량,시가총액_원,PER_숫자,EPS_숫자,전일대비,개인순매수,기관순매수,외국인순매수
5930,삼성전자,20250627,"60,800","88,800","49,900","17,235,470","17,235,470",359914000000000,11.78,5162.0,600,"-2,746,410","+2,059,747","+623,870"
660,SK하이닉스,20250627,"284,000","298,500","144,700","4,993,896","4,993,896",206752700000000,7.96,35682.0,"-9,000","+667,580","-87,427","-644,947"
207940,삼성바이오로직스,20250627,"996,000","1,209,000","724,000","38,057","38,057",70889300000000,55.4,17977.0,"-3,000","+13,601","-5,610","-7,886"
373220,LG에너지솔루션,20250627,"288,000","444,000","266,000","219,699","219,699",67392000000000,,4974.0,"-9,000","+133,601","-76,408","-58,037"
105560,KB금융,20250627,"110,600","114,800","69,300","857,938","857,938",42189700000000,7.67,14416.0,700,"-101,255","-20,515","+122,013"
34020,두산에너빌리티,20250627,"65,800","71,400","15,150","7,601,019","7,601,019",42148900000000,,159.0,"1,100","-1,301,424","+621,461","+578,230"
12450,한화에어로스페이스,20250627,"890,000","987,000","234,290","334,673","334,673",42093600000000,18.0,49447.0,"12,000","-19,850","+42,629","-22,208"
5380,현대차,20250627,"205,000","299,500","175,800","764,378","764,378",41975300000000,4.47,45880.0,"-4,500","+229,359","+6,270","-235,372"
5935,삼성전자우,20250627,"50,600","70,300","41,700","1,489,861","1,489,861",41288300000000,9.8,5162.0,200,"-90,678","+16,720","+73,992"
35420,NAVER,20250627,"257,500","295,000","151,100","2,316,733","2,316,733",40797500000000,22.49,11452.0,"-3,500","+441,413","-30,897","-422,515"
270,기아,20250627,"97,700","132,300","81,300","574,885","574,885",38852600000000,4.17,23440.0,"-1,400","+54,339","+20,949","-75,005"
329180,HD현대중공업,20250627,"422,000","476,000","147,400","183,253","183,253",37462300000000,42.71,9880.0,"-1,500","+12,804","-2,026","-10,926"
68270,셀트리온,20250627,"159,900","194,109","144,866","298,661","298,661",35565900000000,73.99,2161.0,-300,"+14,533","-6,737","-75,136"
55550,신한지주,20250627,"60,500","64,600","42,500","1,615,436","1,615,436",29998400000000,6.64,9108.0,800,"-136,319","+59,940","+188,835"
28260,삼성물산,20250627,"158,800","174,500","108,100","339,200","339,200",26992300000000,12.68,12523.0,"-1,800","+4,310","-36,557","+33,284"
35720,카카오,20250627,"60,900","71,600","32,550","7,751,588","7,751,588",26903600000000,176.01,346.0,"-2,200","+128,624","-290,016","+129,632"
12330,현대모비스,20250627,"289,500","302,000","200,500","138,407","138,407",26574700000000,6.38,45380.0,"-5,000","-6,150","+7,428","-1,867"
9540,HD한국조선해양,20250627,"364,000","398,500","153,600","198,330","198,330",25761400000000,17.42,20895.0,"1,500","+17,555","-4,039","-13,329"
32830,삼성생명,20250627,"126,300","133,400","73,300","438,651","438,651",25260000000000,11.92,10600.0,800,"-45,548","-30,773","+80,930"
15760,한국전력,20250627,"39,250","41,150","18,190","8,019,427","8,019,427",25197100000000,4.79,8191.0,"-1,350","+239,246","+941,564","-1,260,762"
42660,한화오션,20250627,"79,400","95,800","25,400","1,769,254","1,769,254",24329200000000,35.12,2261.0,-900,"+583,555","-66,456","-531,362"
86790,하나금융지주,20250627,"84,200","85,800","51,500","837,186","837,186",23973800000000,6.35,13252.0,700,"-7,823","-31,527","+40,132"
402340,SK스퀘어,20250627,"176,300","199,800","67,600","945,652","945,652",23367000000000,4.76,37069.0,"-11,100","+35,395","+7,024","-52,856"
11200,HMM,20250627,"22,400","25,350","15,570","1,562,326","1,562,326",22960900000000,4.42,5073.0,-700,"+473,612","-294,163","-183,116"
64350,현대로템,20250627,"201,000","220,500","37,450","1,203,275","1,203,275",21937600000000,43.1,4664.0,"4,300","-49,036","+73,771","-19,613"
5490,POSCO홀딩스,20250627,"260,000","397,000","227,500","264,091","264,091",21042600000000,25.28,10286.0,"-7,500","+81,836","-7,222","-50,852"
138040,메리츠금융지주,20250627,"112,200","127,400","73,500","236,582","236,582",20197600000000,9.18,12216.0,"-1,700","+4,189","+69,412","-70,840"
810,삼성화재,20250627,"435,000","466,000","324,000","65,113","65,113",20014900000000,11.11,39171.0,"-6,500","+7,514","+7,482","-15,080"
267260,HD현대일렉트릭,20250627,"487,500","506,000","225,500","216,245","216,245",17573000000000,31.29,15581.0,"3,500","-5,408","-9,213","+14,143"
10130,고려아연,20250627,"844,000","2,407,000","445,000","81,564","81,564",17473600000000,70.92,11900.0,"51,000","-11,028","+4,122","+6,644"
259960,크래프톤,20250627,"357,500","393,000","260,000","77,468","77,468",16942200000000,12.91,27686.0,"-1,000",-201,"+5,942","-5,838"
316140,우리금융지주,20250627,"22,500","22,850","13,740","2,278,918","2,278,918",16708300000000,5.8,3877.0,-50,"+429,124","+117,800","-525,319"
33780,KT&G,20250627,"123,300","127,600","85,700","338,115","338,115",15050300000000,13.88,8881.0,"-1,500","-38,697","+39,658",+592
323410,카카오뱅크,20250627,"31,450","38,750","18,490","1,946,396","1,946,396",15001300000000,32.16,978.0,100,"+239,915","-151,271","-72,084"
96770,SK이노베이션,20250627,"97,800","140,200","80,800","239,336","239,336",14771200000000,,20236.0,"-2,500","+51,072","-25,233","-24,886"
51910,LG화학,20250627,"209,000","371,000","181,500","227,948","227,948",14753800000000,,11946.0,"-7,000","+52,480","-20,851","-34,510"
24110,기업은행,20250627,"18,300","18,980","12,790","942,054","942,054",14592900000000,5.46,3351.0,-220,"-14,078","+171,343","-160,083"
34730,SK,20250627,"197,600","209,000","114,800","248,595","248,595",14326500000000,16.09,12281.0,"-5,900","+65,899","-23,668","-56,633"
10140,삼성중공업,20250627,"16,160","18,550","9,220","3,841,073","3,841,073",14220800000000,97.35,166.0,-160,"+1,176,286","-311,613","-904,787"
30200,KT,20250627,"54,400","55,500","35,850","771,081","771,081",13710000000000,21.66,2511.0,"2,000","-301,027","+309,470","-14,636"
6400,삼성SDI,20250627,"169,700","385,249","157,700","478,562","478,562",13675400000000,116.15,1461.0,"-4,900","+305,707","-58,687","-242,626"
18260,삼성에스디에스,20250627,"173,300","198,800","109,000","267,429","267,429",13409600000000,17.7,9791.0,"-1,600","+12,032","-6,381","-6,254"
352820,하이브,20250627,"305,500","316,000","157,700","172,862","172,862",12724700000000,243.23,1256.0,-500,"-1,447","-29,062","+28,583"
3550,LG,20250627,"79,700","91,700","58,300","246,687","246,687",12532900000000,15.77,5053.0,"-1,700","-34,156","+35,954","-8,175"
6800,미래에셋증권,20250627,"21,350","25,350","6,600","4,032,115","4,032,115",12176300000000,15.65,1364.0,-500,"-42,355","+1,066,255","-1,048,165"
66570,LG전자,20250627,"74,100","115,400","64,100","434,975","434,975",12126300000000,19.37,3825.0,-600,"+68,789","-56,035","-15,677"
17670,SK텔레콤,20250627,"56,200","61,900","50,400","639,168","639,168",12071200000000,9.57,5874.0,-500,"+8,141","+22,757","-22,597"
79550,LIG넥스원,20250627,"543,000","650,000","168,700","186,495","186,495",11946000000000,48.69,11153.0,"19,000","-26,703","+16,668","+8,174"
377300,카카오페이,20250627,"84,200","114,000","21,200","7,694,326","7,694,326",11341500000000,,31.0,"-9,600","+43,347","+107,434","-168,848"
272210,한화시스템,20250627,"59,300","70,200","16,530","1,599,649","1,599,649",11202900000000,25.44,2331.0,600,"+295,082","-32,969","-285,911"
